CD Rank,State,Colleges,Institution Type,Intake AY 2024-25,Intake AY 2025-26,Remarks
742,Uttar Pradesh,"Noida International Institute Of Medical
Sciences",Trust,150,150,
743,Uttar Pradesh,"Prasad Institute of Medical Sciences,
Lucknow",Trust,150,150,
744,Uttar Pradesh,"Rajkiya Allopathic Medical College,
Bahraich, UP",Govt.,100,100,
745,Uttar Pradesh,"Rajkiya Medical College Jalaun, Orai, Uttar
Pradesh",Govt.,100,100,
746,Uttar Pradesh,"Rajshree Medical Research Institute,
Bareilly",Trust,250,250,
747,Uttar Pradesh,"Rama Medical College and Hospital ,
Kanpur",Trust,150,150,
748,Uttar Pradesh,"Rama Medical College Hospital and
Research Centre, Hapur",Trust,250,250,
749,Uttar Pradesh,"Rohilkhand Medical College & Hospital,
Bareilly",Trust,250,250,
750,Uttar Pradesh,"S N Medical College, Agra",Govt.,200,200,
751,Uttar Pradesh,"Santosh Medical College, Ghaziabad",Trust,150,150,
752,Uttar Pradesh,"Saraswati Institute of Medical Sciences,
Hapur",Trust,250,250,
753,Uttar Pradesh,"Saraswati Medical College, Unnao, U.P.",Trust,150,150,
754,Uttar Pradesh,"School of Medical Sciences &
Research,Greater Noida",Trust,250,250,
755,Uttar Pradesh,"Shaikh-UL-Hind Maulana Mahmood Hasan
Medical College, Saharanpur",Govt.,100,100,
756,Uttar Pradesh,"SHRI GORAKSHNATH MEDICAL COLLEGE
HOSPITAL and RESEARCH CENTRE",Society,100,150,
757,Uttar Pradesh,"Shri Ram Murti Smarak Institute of
Medical Sciences, Bareilly",Trust,150,200,
758,Uttar Pradesh,"Shri Siddhi Vinayak Medical College and
Hospital, Sambhal, UP",Trust,50,150,
759,Uttar Pradesh,"SKS HOSPITAL MEDICAL COLLEGE AND
RESEARCH CENTRE, UP",Private,150,200,
760,Uttar Pradesh,"Subharti Medical College, Meerut",Trust,200,200,
761,Uttar Pradesh,"T S Misra Medical College & Hospital,
Amusi, Lucknow",Private,250,250,
762,Uttar Pradesh,"Teerthanker Mahaveer Medical College &
Research Center",Trust,250,250,
763,Uttar Pradesh,"Uma Nath Singh Autonomous State
Medical College Society Jaunpur",Govt.,100,100,
764,Uttar Pradesh,"United Institute of Medical Sciences,
Allahabad",Society,150,150,
765,Uttar Pradesh,"Uttar Pradesh University of Medical
Sciences, (Prev. UP Rural Inst.of
Med.Sc&R)",Govt.,200,200,
766,Uttar Pradesh,"Varun Arjun Medical College, Banthra,
Shahjahanpur",Trust,250,250,
767,Uttar Pradesh,"Venkateshwara Institute of Medical
Sciences, Gajraula",Trust,250,250,
768,Uttar Pradesh,"ESIC MEDICAL COLLEGE AND HOSPITAL, Noida",Govt.,0,50,"Approval for New
Establishment
during AY:2025-26"
769,Uttarakhand,"All India Institute of Medical Sciences,
Rishikesh",Govt.,125,125,
770,Uttarakhand,"Doon Medical College, Dehradun,
Uttarakhand",Govt.,150,150,
771,Uttarakhand,"Gautam Buddha Chikitsa Mahavidyalaya,
Dehradum",Trust,150,150,
772,Uttarakhand,"Government Medical College
(Prev.Uttarakhand Forest Hospital Trust
Med.Col.), Ha",Govt.,125,125,
773,Uttarakhand,Government Medical college Haridwar,Govt.,100,100,
774,Uttarakhand,"Graphic Era Institute of Medical Sciences,
Dehradun, Uttarakhand",Society,150,150,
775,Uttarakhand,"Himalayan Institute of Medical Sciences,
Dehradun",Trust,150,150,
776,Uttarakhand,"Shri Guru Ram Rai Institute of Medical &
Health Sciences, Dehradun",Society,150,250,
777,Uttarakhand,"Soban Singh jeena Government institute
of Medical science & Research, Almora",Govt.,100,100,
778,Uttarakhand,"Veer Chandra Singh Garhwali Govt.
Medical Sc. & Research Instt, Srinagar,
Pauri",Govt.,150,150,
779,West Bengal,"All India Institute of Medical Sciences,
Kalyani, Nadia",Govt.,125,125,
780,West Bengal,"Bankura Sammilani Medical College,
Bankura",Govt.,200,200,
781,West Bengal,"Barasat Government Medical College and
Hospital, Banamalipur, West Bengal",Govt.,100,100,
782,West Bengal,"Burdwan Medical College, Burdwan",Govt.,200,200,
783,West Bengal,"Calcutta National Medical College, Kolkata",Govt.,250,250,
784,West Bengal,"College of Medicine and JNM
Hospital,Kalyani,Nadia",Govt.,125,150,
785,West Bengal,"College of Medicine and Sagore Dutta
Hospital, Kolkata",Govt.,125,125,
786,West Bengal,"Coochbehar Government Medical College
& Hospital, Coochbehar, WB",Govt.,100,150,
787,West Bengal,"Diamond Harbour Government Medical
College and Hospital, West Bengal",Govt.,100,150,
788,West Bengal,"EAST WEST INSTITUTE OF MEDICAL
SCIENCES AND RESEARCH",Private,50,100,
789,West Bengal,"Employees State Insurance Corporation
Medical College, Joka, Kolkata",Govt.,125,150,
790,West Bengal,"Gouri Devi Institute of Medical Sciences
and Hospital, Durgapur",Society,200,200,
791,West Bengal,"Govt. Medical College, Kolkata",Govt.,250,250,
792,West Bengal,"ICARE Institute of Medical Sciences &
Research, Haldia, Purba Midanpore",Trust,150,150,
793,West Bengal,"Institute of Postgraduate Medical
Education & Research, Kolkata",Govt.,200,200,
794,West Bengal,"IQ-City Medical College, Burdwan",Trust,250,250,
795,West Bengal,"JAGANNATH GUPTA INSTITUTE OF
MEDICAL SCIENCES AND HOSPITAL",Trust,200,250,
796,West Bengal,"Jagannath Gupta Institute of Medical
Sciences & Hospital, North Kolkata",Trust,0,100,"Approval for New
Establishment
during AY:2025-26"
797,West Bengal,"JAKIR HOSSAIN MEDICAL COLLEGE AND
RESEARCH INSTITUTE",Trust,50,100,
798,West Bengal,"Jalpaiguri Government Medical College
and Hospital, Jalpaiguri, West Bengal",Govt.,100,100,
799,West Bengal,"Jhargram Government Medical College
And Hospital, WB",Govt.,100,100,
800,West Bengal,"JIS School Medical Science and Research,
Howrah, WB",Trust,150,150,
801,West Bengal,"JMN Medical College, Nadia, West Bengal",Trust,150,150,
802,West Bengal,"KPC Medical College,Jadavpur,Kolkata",Trust,200,200,
803,West Bengal,"Krishnanagar Institute of Medical
Science, Nadia, West Bengal",Private,100,150,
804,West Bengal,"Malda Medical College & Hospital, Malda",Govt.,125,125,
805,West Bengal,"Midnapore Medical College, Midnapore",Govt.,200,200,
806,West Bengal,"Murshidabad Medical College & Hospitals,
Murshidabad",Govt.,125,125,
807,West Bengal,"Nilratan Sircar Medical College, Kolkata",Govt.,250,250,
808,West Bengal,"North Bengal Medical College, Darjeeling",Govt.,200,200,
809,West Bengal,"Prafulla Chandra Sen Government Medical
College and Hospital",Govt.,100,100,
810,West Bengal,"Purulia Government Medical College &
Hospital",Govt.,100,150,
811,West Bengal,"Raiganj Government Medical College &
Hospital, Raiganj",Govt.,100,150,
812,West Bengal,"Rampurhat Government Medical College
& Hospital, Rampurhat",Govt.,100,150,
813,West Bengal,"RG Kar Medical College, Kolkata",Govt.,250,249,
814,West Bengal,SANTINIKETAN MEDICAL COLLEGE,Trust,150,150,
815,West Bengal,"Sarat Chandra Chattopadhyay
Government Medical College & Hospital,
Uluberia",Govt.,100,100,
816,West Bengal,"Shri Ramkrishna Institute of Medical
Sciences & Sanaka Hospitals, Durgapur",Trust,200,250,
817,West Bengal,"Tamralipto Government Medical College
& Hospital",Govt.,100,100,
818,West Bengal,RANIGANJ INSTITUTE OF MEDICAL SCIENCE,Private,0,100,"Approval for New
Establishment
during AY:2025-26"
819,West Bengal,PKG MEDICAL COLLEGE,Private,0,50,"Approval for New
Establishment
during AY:2025-26"
,,,,117750,129026,
,,"Actual new seats granted in AY 2025-26
(excluding 231 seats of AIIMS & JIPMER)",,,11501,
